sample,total_count,population,count,percentage
sample00014,92904.0,cd8_t_cell,25851.0,27.8255
sample00014,92904.0,monocyte,24463.0,26.3315
sample00014,92904.0,nk_cell,9254.0,9.9608
sample00015,102691.0,b_cell,8261.0,8.0445
sample00015,102691.0,cd4_t_cell,36217.0,35.2679
sample00015,102691.0,cd8_t_cell,21523.0,20.959
sample00015,102691.0,monocyte,20937.0,20.3883
sample00015,102691.0,nk_cell,15753.0,15.3402
sample00016,95824.0,b_cell,7433.0,7.7569
sample00016,95824.0,cd4_t_cell,33881.0,35.3575
sample00016,95824.0,cd8_t_cell,22881.0,23.8782
sample00016,95824.0,monocyte,22197.0,23.1643
sample00016,95824.0,nk_cell,9432.0,9.843
sample00017,98639.0,b_cell,3226.0,3.2705
sample00017,98639.0,cd4_t_cell,36405.0,36.9073
sample00017,98639.0,cd8_t_cell,20404.0,20.6855
sample00017,98639.0,monocyte,17865.0,18.1115
sample00017,98639.0,nk_cell,20739.0,21.0252
sample00018,101123.0,b_cell,3578.0,3.5383
sample00018,101123.0,cd4_t_cell,32675.0,32.3121
sample00018,101123.0,cd8_t_cell,29520.0,29.1922
sample00018,101123.0,monocyte,19813.0,19.593
sample00018,101123.0,nk_cell,15537.0,15.3645
sample00019,97405.0,b_cell,8022.0,8.2357
sample00019,97405.0,cd4_t_cell,30759.0,31.5785
sample00019,97405.0,cd8_t_cell,27175.0,27.899
sample00019,97405.0,monocyte,20466.0,21.0112
sample00019,97405.0,nk_cell,10983.0,11.2756
sample00020,97228.0,b_cell,6382.0,6.564
sample00020,97228.0,cd4_t_cell,32731.0,33.6642
sample00020,97228.0,cd8_t_cell,17469.0,17.967
sample00020,97228.0,monocyte,22590.0,23.234
sample00020,97228.0,nk_cell,18056.0,18.5708
sample00021,100750.0,b_cell,10337.0,10.26
sample00021,100750.0,cd4_t_cell,31535.0,31.3002
sample00021,100750.0,cd8_t_cell,19144.0,19.0015
sample00021,100750.0,monocyte,26971.0,26.7702
sample00021,100750.0,nk_cell,12763.0,12.668
sample00022,92670.0,b_cell,9563.0,10.3194
sample00022,92670.0,cd4_t_cell,32814.0,35.4095
sample00022,92670.0,cd8_t_cell,22424.0,24.1977
sample00022,92670.0,monocyte,16304.0,17.5936
sample00022,92670.0,nk_cell,11565.0,12.4798
sample00023,104960.0,b_cell,6924.0,6.5968
sample00023,104960.0,cd4_t_cell,29844.0,28.4337
sample00023,104960.0,cd8_t_cell,28080.0,26.753
sample00023,104960.0,monocyte,24320.0,23.1707
sample00023,104960.0,nk_cell,15792.0,15.0457
sample00024,99969.0,b_cell,7552.0,7.5543
sample00024,99969.0,cd4_t_cell,35270.0,35.2809
sample00024,99969.0,cd8_t_cell,27821.0,27.8296
sample00024,99969.0,monocyte,9645.0,9.648
sample00024,99969.0,nk_cell,19681.0,19.6871
sample00025,95534.0,b_cell,11714.0,12.2616
sample00025,95534.0,cd4_t_cell,30323.0,31.7405
sample00025,95534.0,cd8_t_cell,21407.0,22.4077
sample00025,95534.0,monocyte,11789.0,12.3401
sample00025,95534.0,nk_cell,20301.0,21.25
sample00026,95777.0,b_cell,7936.0,8.2859
sample00026,95777.0,cd4_t_cell,34545.0,36.0682
sample00026,95777.0,cd8_t_cell,23786.0,24.8348
sample00026,95777.0,monocyte,15581.0,16.268
sample00026,95777.0,nk_cell,13929.0,14.5432
sample00027,93164.0,b_cell,8850.0,9.4994
sample00027,93164.0,cd4_t_cell,26079.0,27.9926
sample00027,93164.0,cd8_t_cell,21268.0,22.8286
sample00027,93164.0,monocyte,18776.0,20.1537
sample00027,93164.0,nk_cell,18191.0,19.5258
sample00028,106062.0,b_cell,11386.0,10.7352
sample00028,106062.0,cd4_t_cell,28400.0,26.7768
sample00028,106062.0,cd8_t_cell,28155.0,26.5458
sample00028,106062.0,monocyte,29251.0,27.5792
sample00028,106062.0,nk_cell,8870.0,8.363
sample00029,97156.0,b_cell,5606.0,5.7701
sample00029,97156.0,cd4_t_cell,31305.0,32.2214
sample00029,97156.0,cd8_t_cell,28476.0,29.3096
sample00029,97156.0,monocyte,15909.0,16.3747
sample00029,97156.0,nk_cell,15860.0,16.3243
sample00030,93972.0,b_cell,6413.0,6.8244
sample00030,93972.0,cd4_t_cell,20437.0,21.748
sample00030,93972.0,cd8_t_cell,25167.0,26.7814
sample00030,93972.0,monocyte,19638.0,20.8977
sample00030,93972.0,nk_cell,22317.0,23.7486
sample00031,106625.0,b_cell,7007.0,6.5716
sample00031,106625.0,cd4_t_cell,31653.0,29.6863
sample00031,106625.0,cd8_t_cell,30482.0,28.588
sample00031,106625.0,monocyte,23316.0,21.8673
sample00031,106625.0,nk_cell,14167.0,13.2868
sample00032,101357.0,b_cell,11118.0,10.9691
sample00032,101357.0,cd4_t_cell,32582.0,32.1458
sample00032,101357.0,cd8_t_cell,19704.0,19.4402
sample00032,101357.0,monocyte,17350.0,17.1177
sample00032,101357.0,nk_cell,20603.0,20.3272
sample00033,93131.0,b_cell,9054.0,9.7218
sample00033,93131.0,cd4_t_cell,24897.0,26.7333
sample00033,93131.0,cd8_t_cell,31679.0,34.0155
sample00033,93131.0,monocyte,11932.0,12.8121
sample00033,93131.0,nk_cell,15569.0,16.7173
sample00034,103870.0,b_cell,8350.0,8.0389
sample00034,103870.0,cd4_t_cell,36716.0,35.348
sample00034,103870.0,cd8_t_cell,26526.0,25.5377
sample00034,103870.0,monocyte,21284.0,20.491
sample00034,103870.0,nk_cell,10994.0,10.5844
sample00035,94622.0,b_cell,5327.0,5.6298
sample00035,94622.0,cd4_t_cell,38264.0,40.4388
sample00035,94622.0,cd8_t_cell,28094.0,29.6908
sample00035,94622.0,monocyte,15688.0,16.5797
sample00035,94622.0,nk_cell,7249.0,7.661
sample00036,103532.0,b_cell,8635.0,8.3404
sample00036,103532.0,cd4_t_cell,31787.0,30.7026
sample00036,103532.0,cd8_t_cell,29458.0,28.453
sample00036,103532.0,monocyte,17154.0,16.5688
sample00036,103532.0,nk_cell,16498.0,15.9352
sample00037,92368.0,b_cell,8915.0,9.6516
sample00037,92368.0,cd4_t_cell,24564.0,26.5936
sample00037,92368.0,cd8_t_cell,21012.0,22.7481
sample00037,92368.0,monocyte,23510.0,25.4525
sample00037,92368.0,nk_cell,14367.0,15.5541
sample00038,98897.0,b_cell,12062.0,12.1965
sample00038,98897.0,cd4_t_cell,33109.0,33.4783
sample00038,98897.0,cd8_t_cell,18923.0,19.134
sample00038,98897.0,monocyte,20427.0,20.6548
sample00038,98897.0,nk_cell,14376.0,14.5363
sample00039,107756.0,b_cell,14634.0,13.5807
sample00039,107756.0,cd4_t_cell,35553.0,32.994
sample00039,107756.0,cd8_t_cell,26888.0,24.9527
sample00039,107756.0,monocyte,18809.0,17.4552
sample00039,107756.0,nk_cell,11872.0,11.0175
sample00040,105943.0,b_cell,11007.0,10.3895
sample00040,105943.0,cd4_t_cell,25872.0,24.4207
sample00040,105943.0,cd8_t_cell,25723.0,24.28
sample00040,105943.0,monocyte,25016.0,23.6127
sample00040,105943.0,nk_cell,18325.0,17.297
sample00041,91358.0,b_cell,11583.0,12.6787
sample00041,91358.0,cd4_t_cell,22586.0,24.7225
sample00041,91358.0,cd8_t_cell,23517.0,25.7416
sample00041,91358.0,monocyte,19241.0,21.0611
sample00041,91358.0,nk_cell,14431.0,15.7961
sample00042,111631.0,b_cell,12118.0,10.8554
sample00042,111631.0,cd4_t_cell,41403.0,37.0892
sample00042,111631.0,cd8_t_cell,22342.0,20.0142
sample00042,111631.0,monocyte,17108.0,15.3255
sample00042,111631.0,nk_cell,18660.0,16.7158
sample00043,104827.0,b_cell,4750.0,4.5313
sample00043,104827.0,cd4_t_cell,36392.0,34.7162
sample00043,104827.0,cd8_t_cell,23553.0,22.4684
sample00043,104827.0,monocyte,24363.0,23.2411
sample00043,104827.0,nk_cell,15769.0,15.0429
sample00044,106034.0,b_cell,15793.0,14.8943
sample00044,106034.0,cd4_t_cell,37025.0,34.918
sample00044,106034.0,cd8_t_cell,25351.0,23.9084
sample00044,106034.0,monocyte,13893.0,13.1024
sample00044,106034.0,nk_cell,13972.0,13.1769
sample00045,104473.0,b_cell,13792.0,13.2015
sample00045,104473.0,cd4_t_cell,33714.0,32.2705
sample00045,104473.0,cd8_t_cell,26314.0,25.1874
sample00045,104473.0,monocyte,13548.0,12.9679
sample00045,104473.0,nk_cell,17105.0,16.3727
sample00046,105731.0,b_cell,7726.0,7.3072
sample00046,105731.0,cd4_t_cell,29221.0,27.6371
sample00046,105731.0,cd8_t_cell,25456.0,24.0762
sample00046,105731.0,monocyte,25427.0,24.0488
sample00046,105731.0,nk_cell,17901.0,16.9307
sample00047,93338.0,b_cell,8249.0,8.8378
sample00047,93338.0,cd4_t_cell,37597.0,40.2805
sample00047,93338.0,cd8_t_cell,20566.0,22.0339
sample00047,93338.0,monocyte,15869.0,17.0016
sample00047,93338.0,nk_cell,11057.0,11.8462
sample00048,105178.0,b_cell,13648.0,12.9761
sample00048,105178.0,cd4_t_cell,31150.0,29.6165
sample00048,105178.0,cd8_t_cell,32565.0,30.9618
sample00048,105178.0,monocyte,17485.0,16.6242
sample00048,105178.0,nk_cell,10330.0,9.8214
sample00049,104513.0,b_cell,11419.0,10.9259
sample00049,104513.0,cd4_t_cell,29883.0,28.5926
sample00049,104513.0,cd8_t_cell,20811.0,19.9124
sample00049,104513.0,monocyte,20669.0,19.7765
sample00049,104513.0,nk_cell,21731.0,20.7926
sample00050,106504.0,b_cell,14113.0,13.2511
sample00050,106504.0,cd4_t_cell,32832.0,30.827
sample00050,106504.0,cd8_t_cell,32701.0,30.704
sample00050,106504.0,monocyte,12899.0,12.1113
sample00050,106504.0,nk_cell,13959.0,13.1065
sample00051,88918.0,b_cell,9765.0,10.982
sample00051,88918.0,cd4_t_cell,25644.0,28.8401
sample00051,88918.0,cd8_t_cell,21622.0,24.3168
sample00051,88918.0,monocyte,19209.0,21.6031
sample00051,88918.0,nk_cell,12678.0,14.2581
sample00052,95942.0,b_cell,11122.0,11.5924
sample00052,95942.0,cd4_t_cell,21886.0,22.8117
sample00052,95942.0,cd8_t_cell,30718.0,32.0173
sample00052,95942.0,monocyte,20577.0,21.4473
sample00052,95942.0,nk_cell,11639.0,12.1313
sample00053,99135.0,b_cell,11822.0,11.9252
sample00053,99135.0,cd4_t_cell,30587.0,30.8539
sample00053,99135.0,cd8_t_cell,26750.0,26.9834
sample00053,99135.0,monocyte,22544.0,22.7407
sample00053,99135.0,nk_cell,7432.0,7.4968
sample00054,99486.0,b_cell,7782.0,7.8222
sample00054,99486.0,cd4_t_cell,26399.0,26.5354
sample00054,99486.0,cd8_t_cell,26235.0,26.3705
sample00054,99486.0,monocyte,20742.0,20.8492
sample00054,99486.0,nk_cell,18328.0,18.4227
sample00055,101344.0,b_cell,11645.0,11.4906
sample00055,101344.0,cd4_t_cell,34912.0,34.449
sample00055,101344.0,cd8_t_cell,23172.0,22.8647
sample00055,101344.0,monocyte,16223.0,16.0079
sample00055,101344.0,nk_cell,15392.0,15.1879
sample00056,92361.0,b_cell,11022.0,11.9336
sample00056,92361.0,cd4_t_cell,24674.0,26.7147
sample00056,92361.0,cd8_t_cell,18780.0,20.3333
sample00056,92361.0,monocyte,20094.0,21.7559
sample00056,92361.0,nk_cell,17791.0,19.2625
sample00057,111127.0,b_cell,15157.0,13.6393
sample00057,111127.0,cd4_t_cell,40906.0,36.8101
sample00057,111127.0,cd8_t_cell,19991.0,17.9893
sample00057,111127.0,monocyte,23819.0,21.434
sample00057,111127.0,nk_cell,11254.0,10.1272
sample00058,93201.0,b_cell,10510.0,11.2767
sample00058,93201.0,cd4_t_cell,28561.0,30.6445
sample00058,93201.0,cd8_t_cell,20389.0,21.8764
sample00058,93201.0,monocyte,17442.0,18.7144
sample00058,93201.0,nk_cell,16299.0,17.488
sample00059,108944.0,b_cell,17545.0,16.1046
sample00059,108944.0,cd4_t_cell,33022.0,30.311
sample00059,108944.0,cd8_t_cell,24675.0,22.6493
sample00059,108944.0,monocyte,19458.0,17.8606
sample00059,108944.0,nk_cell,14244.0,13.0746
sample00060,103534.0,b_cell,11035.0,10.6583
sample00060,103534.0,cd4_t_cell,38817.0,37.492
sample00060,103534.0,cd8_t_cell,21406.0,20.6753
sample00060,103534.0,monocyte,17717.0,17.1123
sample00060,103534.0,nk_cell,14559.0,14.062
sample00061,111970.0,b_cell,4508.0,4.0261
sample00061,111970.0,cd4_t_cell,38281.0,34.1886
sample00061,111970.0,cd8_t_cell,34867.0,31.1396
sample00061,111970.0,monocyte,18301.0,16.3446
sample00061,111970.0,nk_cell,16013.0,14.3012
sample00062,95286.0,b_cell,10066.0,10.564
sample00062,95286.0,cd4_t_cell,21554.0,22.6203
sample00062,95286.0,cd8_t_cell,20104.0,21.0986
sample00062,95286.0,monocyte,26057.0,27.3461
sample00062,95286.0,nk_cell,17505.0,18.371
sample00063,93940.0,b_cell,7236.0,7.7028
sample00063,93940.0,cd4_t_cell,29335.0,31.2274
sample00063,93940.0,cd8_t_cell,32409.0,34.4997
sample00063,93940.0,monocyte,14501.0,15.4364
sample00063,93940.0,nk_cell,10459.0,11.1337
sample00064,109577.0,b_cell,10199.0,9.3076
sample00064,109577.0,cd4_t_cell,33535.0,30.6041
sample00064,109577.0,cd8_t_cell,24842.0,22.6708
sample00064,109577.0,monocyte,24701.0,22.5421
sample00064,109577.0,nk_cell,16300.0,14.8754
sample00065,92559.0,b_cell,8425.0,9.1023
sample00065,92559.0,cd4_t_cell,24750.0,26.7397
sample00065,92559.0,cd8_t_cell,28293.0,30.5675
sample00065,92559.0,monocyte,18995.0,20.522
sample00065,92559.0,nk_cell,12096.0,13.0684
sample00066,107284.0,b_cell,8052.0,7.5053
sample00066,107284.0,cd4_t_cell,37350.0,34.8141
sample00066,107284.0,cd8_t_cell,35323.0,32.9248
sample00066,107284.0,monocyte,12632.0,11.7744
sample00066,107284.0,nk_cell,13927.0,12.9814
sample00067,107589.0,b_cell,11874.0,11.0364
sample00067,107589.0,cd4_t_cell,29460.0,27.382
sample00067,107589.0,cd8_t_cell,24116.0,22.4149
sample00067,107589.0,monocyte,20737.0,19.2743
sample00067,107589.0,nk_cell,21402.0,19.8924
sample00068,110245.0,b_cell,10501.0,9.5251
sample00068,110245.0,cd4_t_cell,35458.0,32.1629
sample00068,110245.0,cd8_t_cell,33801.0,30.6599
sample00068,110245.0,monocyte,23088.0,20.9424
sample00068,110245.0,nk_cell,7397.0,6.7096
sample00069,110094.0,b_cell,11742.0,10.6654
sample00069,110094.0,cd4_t_cell,35087.0,31.87
sample00069,110094.0,cd8_t_cell,30825.0,27.9988
sample00069,110094.0,monocyte,19536.0,17.7448
sample00069,110094.0,nk_cell,12904.0,11.7209
sample00070,97532.0,b_cell,9131.0,9.3621
sample00070,97532.0,cd4_t_cell,31460.0,32.2561
sample00070,97532.0,cd8_t_cell,21272.0,21.8103
sample00070,97532.0,monocyte,19761.0,20.261
sample00070,97532.0,nk_cell,15908.0,16.3105
sample00071,96197.0,b_cell,5029.0,5.2278
sample00071,96197.0,cd4_t_cell,36013.0,37.4367
sample00071,96197.0,cd8_t_cell,19587.0,20.3613
sample00071,96197.0,monocyte,15972.0,16.6034
sample00071,96197.0,nk_cell,19596.0,20.3707
sample00072,93613.0,b_cell,8730.0,9.3256
sample00072,93613.0,cd4_t_cell,22481.0,24.0148
sample00072,93613.0,cd8_t_cell,26500.0,28.308
sample00072,93613.0,monocyte,19301.0,20.6179
sample00072,93613.0,nk_cell,16601.0,17.7336
sample00073,104898.0,b_cell,10426.0,9.9392
sample00073,104898.0,cd4_t_cell,26510.0,25.2722
sample00073,104898.0,cd8_t_cell,28944.0,27.5925
sample00073,104898.0,monocyte,19567.0,18.6534
sample00073,104898.0,nk_cell,19451.0,18.5428
sample00074,92232.0,b_cell,13166.0,14.2749
sample00074,92232.0,cd4_t_cell,33699.0,36.5372
sample00074,92232.0,cd8_t_cell,18608.0,20.1752
sample00074,92232.0,monocyte,11200.0,12.1433
sample00074,92232.0,nk_cell,15559.0,16.8694
sample00075,104711.0,b_cell,14480.0,13.8285
sample00075,104711.0,cd4_t_cell,33149.0,31.6576
sample00075,104711.0,cd8_t_cell,26460.0,25.2696
sample00075,104711.0,monocyte,15639.0,14.9354
sample00075,104711.0,nk_cell,14983.0,14.3089
sample00076,110097.0,b_cell,12385.0,11.2492
sample00076,110097.0,cd4_t_cell,37340.0,33.9155
sample00076,110097.0,cd8_t_cell,23764.0,21.5846
sample00076,110097.0,monocyte,20907.0,18.9896
sample00076,110097.0,nk_cell,15701.0,14.2611
sample00077,105432.0,b_cell,9602.0,9.1073
sample00077,105432.0,cd4_t_cell,42528.0,40.3369
sample00077,105432.0,cd8_t_cell,18744.0,17.7783
sample00077,105432.0,monocyte,17956.0,17.0309
sample00077,105432.0,nk_cell,16602.0,15.7466
sample00078,107869.0,b_cell,5623.0,5.2128
sample00078,107869.0,cd4_t_cell,26856.0,24.8969
sample00078,107869.0,cd8_t_cell,32983.0,30.5769
sample00078,107869.0,monocyte,23663.0,21.9368
sample00078,107869.0,nk_cell,18744.0,17.3766
sample00079,99165.0,b_cell,5792.0,5.8408
sample00079,99165.0,cd4_t_cell,32123.0,32.3935
sample00079,99165.0,cd8_t_cell,32012.0,32.2816
sample00079,99165.0,monocyte,18446.0,18.6013
sample00079,99165.0,nk_cell,10792.0,10.8829
sample00080,95727.0,b_cell,5519.0,5.7654
sample00080,95727.0,cd4_t_cell,31007.0,32.3911
sample00080,95727.0,cd8_t_cell,22834.0,23.8532
sample00080,95727.0,monocyte,18917.0,19.7614
sample00080,95727.0,nk_cell,17450.0,18.2289
sample00081,93286.0,b_cell,9595.0,10.2856
sample00081,93286.0,cd4_t_cell,31245.0,33.4938
sample00081,93286.0,cd8_t_cell,18940.0,20.3032
sample00081,93286.0,monocyte,18924.0,20.286
sample00081,93286.0,nk_cell,14582.0,15.6315
sample00082,103389.0,b_cell,6068.0,5.8691
sample00082,103389.0,cd4_t_cell,30549.0,29.5476
sample00082,103389.0,cd8_t_cell,31190.0,30.1676
sample00082,103389.0,monocyte,17682.0,17.1024
sample00082,103389.0,nk_cell,17900.0,17.3133
sample00083,88242.0,b_cell,7306.0,8.2795
sample00083,88242.0,cd4_t_cell,23762.0,26.9282
sample00083,88242.0,cd8_t_cell,23204.0,26.2959
sample00083,88242.0,monocyte,17528.0,19.8636
sample00083,88242.0,nk_cell,16442.0,18.6329
sample00084,100815.0,b_cell,10469.0,10.3844
sample00084,100815.0,cd4_t_cell,28340.0,28.1109
sample00084,100815.0,cd8_t_cell,24997.0,24.7949
sample00084,100815.0,monocyte,18881.0,18.7284
sample00084,100815.0,nk_cell,18128.0,17.9815
sample00085,102542.0,b_cell,13770.0,13.4286
sample00085,102542.0,cd4_t_cell,26218.0,25.5681
sample00085,102542.0,cd8_t_cell,32384.0,31.5812
sample00085,102542.0,monocyte,12907.0,12.587
sample00085,102542.0,nk_cell,17263.0,16.8351
sample00086,105610.0,b_cell,12479.0,11.8161
sample00086,105610.0,cd4_t_cell,31475.0,29.803
sample00086,105610.0,cd8_t_cell,18340.0,17.3658
sample00086,105610.0,monocyte,16664.0,15.7788
sample00086,105610.0,nk_cell,26652.0,25.2362
sample00087,91946.0,b_cell,5686.0,6.1841
sample00087,91946.0,cd4_t_cell,26848.0,29.1997
sample00087,91946.0,cd8_t_cell,21892.0,23.8096
sample00087,91946.0,monocyte,25096.0,27.2943
sample00087,91946.0,nk_cell,12424.0,13.5123
sample00088,101732.0,b_cell,6883.0,6.7658
sample00088,101732.0,cd4_t_cell,31277.0,30.7445
sample00088,101732.0,cd8_t_cell,23831.0,23.4253
sample00088,101732.0,monocyte,20748.0,20.3948
sample00088,101732.0,nk_cell,18993.0,18.6696
sample00089,107271.0,b_cell,14432.0,13.4538
sample00089,107271.0,cd4_t_cell,31757.0,29.6045
sample00089,107271.0,cd8_t_cell,23729.0,22.1206
sample00089,107271.0,monocyte,22063.0,20.5675
sample00089,107271.0,nk_cell,15290.0,14.2536
sample00090,102290.0,b_cell,13492.0,13.19
sample00090,102290.0,cd4_t_cell,26759.0,26.1599
sample00090,102290.0,cd8_t_cell,20490.0,20.0313
sample00090,102290.0,monocyte,23448.0,22.9231
sample00090,102290.0,nk_cell,18101.0,17.6958
sample00091,102598.0,b_cell,4652.0,4.5342
sample00091,102598.0,cd4_t_cell,33782.0,32.9266
sample00091,102598.0,cd8_t_cell,30489.0,29.717
sample00091,102598.0,monocyte,15790.0,15.3902
sample00091,102598.0,nk_cell,17885.0,17.4321
sample00092,113429.0,b_cell,7510.0,6.6209
sample00092,113429.0,cd4_t_cell,37137.0,32.7403
sample00092,113429.0,cd8_t_cell,22955.0,20.2373
sample00092,113429.0,monocyte,23268.0,20.5133
sample00092,113429.0,nk_cell,22559.0,19.8882
sample00093,109064.0,b_cell,8676.0,7.955
sample00093,109064.0,cd4_t_cell,33280.0,30.5142
sample00093,109064.0,cd8_t_cell,22893.0,20.9904
sample00093,109064.0,monocyte,16745.0,15.3534
sample00093,109064.0,nk_cell,27470.0,25.187
sample00094,102270.0,b_cell,13462.0,13.1632
sample00094,102270.0,cd4_t_cell,23802.0,23.2737
sample00094,102270.0,cd8_t_cell,19888.0,19.4466
sample00094,102270.0,monocyte,25885.0,25.3105
sample00094,102270.0,nk_cell,19233.0,18.8061
sample00095,93081.0,b_cell,4896.0,5.2599
sample00095,93081.0,cd4_t_cell,17746.0,19.0651
sample00095,93081.0,cd8_t_cell,29022.0,31.1793
sample00095,93081.0,monocyte,27838.0,29.9073
sample00095,93081.0,nk_cell,13579.0,14.5884
sample00096,108158.0,b_cell,8717.0,8.0595
sample00096,108158.0,cd4_t_cell,31047.0,28.7052
sample00096,108158.0,cd8_t_cell,29369.0,27.1538
sample00096,108158.0,monocyte,25516.0,23.5914
sample00096,108158.0,nk_cell,13509.0,12.4901
sample00097,100776.0,b_cell,11469.0,11.3807
sample00097,100776.0,cd4_t_cell,25644.0,25.4465
sample00097,100776.0,cd8_t_cell,25912.0,25.7125
sample00097,100776.0,monocyte,26747.0,26.541
sample00097,100776.0,nk_cell,11004.0,10.9193
sample00098,105304.0,b_cell,10482.0,9.954
sample00098,105304.0,cd4_t_cell,31326.0,29.7482
sample00098,105304.0,cd8_t_cell,25543.0,24.2564
sample00098,105304.0,monocyte,23494.0,22.3106
sample00098,105304.0,nk_cell,14459.0,13.7307
sample00099,107859.0,b_cell,12589.0,11.6717
sample00099,107859.0,cd4_t_cell,30346.0,28.1349
sample00099,107859.0,cd8_t_cell,30282.0,28.0755
sample00099,107859.0,monocyte,16250.0,15.066
sample00099,107859.0,nk_cell,18392.0,17.0519
sample00100,106648.0,b_cell,12923.0,12.1174
sample00100,106648.0,cd4_t_cell,32069.0,30.0699
sample00100,106648.0,cd8_t_cell,24732.0,23.1903
sample00100,106648.0,monocyte,17589.0,16.4926
sample00100,106648.0,nk_cell,19335.0,18.1297
sample00101,100154.0,b_cell,18583.0,18.5544
sample00101,100154.0,cd4_t_cell,23455.0,23.4189
sample00101,100154.0,cd8_t_cell,28514.0,28.4702
sample00101,100154.0,monocyte,17677.0,17.6498
sample00101,100154.0,nk_cell,11925.0,11.9067
sample00102,102212.0,b_cell,16339.0,15.9854
sample00102,102212.0,cd4_t_cell,30765.0,30.0992
sample00102,102212.0,cd8_t_cell,15936.0,15.5911
sample00102,102212.0,monocyte,22541.0,22.0532
sample00102,102212.0,nk_cell,16631.0,16.2711
sample00103,109022.0,b_cell,8845.0,8.113
sample00103,109022.0,cd4_t_cell,40757.0,37.3842
sample00103,109022.0,cd8_t_cell,29598.0,27.1486
sample00103,109022.0,monocyte,20436.0,18.7448
sample00103,109022.0,nk_cell,9386.0,8.6093
sample00104,110049.0,b_cell,7005.0,6.3653
sample00104,110049.0,cd4_t_cell,37678.0,34.2375
sample00104,110049.0,cd8_t_cell,22323.0,20.2846
